,Description,Calories,Protein,TotalFat,Carbohydrate
315,OIL PALM,884.0,0.0,100.0,0.0
316,OIL SESAME SALAD OR COOKING,884.0,0.0,100.0,0.0
317,OIL SUNFLOWER LINOLEIC (LESS THAN 60%),884.0,0.0,100.0,0.0
318,MARGARINE REG HARD SOYBN (HYDR),719.0,0.9,80.5,0.9
319,SALAD DRSNG ITALIAN DRSNG COMM REG,291.0,0.38,28.37,10.43
320,SALAD DRSNG FRENCH DRSNG COMM REG,457.0,0.77,44.81,15.58
321,VEG OIL SPRD UNSPEC OILS APPROX 37% FAT W/ SALT,339.0,0.51,37.77,0.66
322,SALAD DRSNG FRENCH HOME RECIPE,631.0,0.1,70.2,3.4
323,SALAD DRSNG HOME RECIPE CKD,157.0,4.2,9.5,14.9
324,SALAD DRSNG HOME RECIPE VINEGAR&OIL,449.0,0.0,50.1,2.5
325,SALAD DRSNG FRENCH DRSNG COMM REG WO/ SALT,459.0,0.77,44.81,15.58
326,SALAD DRSNG FRENCH DRSNG RED FAT WO/ SALT,233.0,0.58,13.46,29.28
327,SALAD DRSNG ITALIAN DRSNG COMM REG WO/ SALT,292.0,0.38,28.37,10.43
328,SALAD DRSNG ITALIAN DRSNG RED FAT WO/ SALT,76.0,0.47,6.38,4.57
329,SALAD DRSNG MAYO SOYBN OIL WO/SALT,717.0,1.1,79.4,2.7
330,SALAD DRSNG FRENCH CTTNSD OIL HOME RECIPE,631.0,0.1,70.2,3.4
331,SALAD DRSNG FRENCH DRSNG FAT-FREE,132.0,0.2,0.27,32.14
332,OIL COCOA BUTTER,884.0,0.0,100.0,0.0
333,OIL CTTNSD SALAD OR COOKING,884.0,0.0,100.0,0.0
334,OIL SUNFLOWER LINOLEIC (APPROX. 65%),884.0,0.0,100.0,0.0
335,OIL SAFFLOWER SALAD OR COOKING LINOLEIC (OVER 70%),884.0,0.0,100.0,0.0
336,OIL SAFFLOWER SALAD OR COOKING HI OLEIC,884.0,0.0,100.0,0.0
337,VEGETABLE OIL PALM KERNEL,862.0,0.0,100.0,0.0
338,OIL POPPYSEED,884.0,0.0,100.0,0.0
