,Description,Calories,Protein,TotalFat,Carbohydrate
2175,RAISINS SEEDED,296.0,2.52,0.54,78.47
2176,RAMBUTAN CND SYRUP PK,82.0,0.65,0.21,20.87
2177,RASPBERRIES RAW,52.0,1.2,0.65,11.94
2178,RASPBERRIES CND RED HVY SYRUP PK SOL&LIQUIDS,91.0,0.83,0.12,23.36
2179,RASPBERRIES FRZ RED SWTND,103.0,0.7,0.16,26.16
2180,RHUBARB RAW,21.0,0.9,0.2,4.54
2181,RHUBARB FROZEN UNCOOKED,21.0,0.55,0.11,5.1
2182,RHUBARB FRZ CKD W/SUGAR,116.0,0.39,0.05,31.2
2183,ROSELLE RAW,49.0,0.96,0.64,11.31
2184,ROSE-APPLES RAW,25.0,0.6,0.3,5.7
2185,SAPODILLA RAW,83.0,0.44,1.1,19.96
2186,SAPOTE MAMEY RAW,124.0,1.45,0.46,32.1
2187,SOURSOP RAW,66.0,1.0,0.3,16.84
2188,STRAWBERRIES RAW,32.0,0.67,0.3,7.68
2189,STRAWBERRIES CND HVY SYRUP PK SOL&LIQUIDS,92.0,0.56,0.26,23.53
2190,STRAWBERRIES FRZ UNSWTND,35.0,0.43,0.11,9.13
2191,STRAWBERRIES FRZ SWTND WHL,78.0,0.52,0.14,21.0
2192,STRAWBERRIES FRZ SWTND SLICED,96.0,0.53,0.13,25.92
2193,SUGAR-APPLES (SWEETSOP) RAW,94.0,2.06,0.29,23.64
2194,TAMARINDS RAW,239.0,2.8,0.6,62.5
2195,FRUIT SALAD TROPICAL CND HVY SYRUP SOL&LIQUIDS,86.0,0.41,0.1,22.36
2196,WATERMELON RAW,30.0,0.61,0.15,7.55
2197,MARASCHINO CHERRIES CND DRND,165.0,0.22,0.21,41.97
2198,FEIJOA RAW,55.0,0.98,0.6,12.92
2199,PEARS ASIAN RAW,42.0,0.5,0.23,10.65
2200,FRUIT COCKTAIL CND HVY SYRUP DRND,70.0,0.47,0.1,18.8
2201,BLUEBERRIES CND LT SYRUP DRND,88.0,1.04,0.4,22.66
2202,BLUEBERRIES WILD CND HVY SYRUP DRND,107.0,0.56,0.34,28.32
2203,PINEAPPLE CND JUC PK DRND,60.0,0.51,0.11,15.56
2204,APRICOTS CND HVY SYRUP DRND,83.0,0.64,0.11,21.31
2205,CHERRIES SWT CND PITTED HVY SYRUP DRND,83.0,0.73,0.21,21.07
2206,PEACHES CND HVY SYRUP DRND,72.0,0.52,0.18,18.43
2207,PEARS CND HVY SYRUP DRND,74.0,0.24,0.18,19.08
2208,PLUMS CND HVY SYRUP DRND,89.0,0.44,0.14,23.12
2209,TANGERINES (MANDARIN ORANGES) CND JUC PK DRND,38.0,0.75,0.04,9.41
2210,APPLE JUC CND OR BTLD UNSWTND W/ ADDED VIT C,46.0,0.1,0.13,11.3
2211,APPLESAUCE CND UNSWTND W/ VIT C,42.0,0.17,0.1,11.27
2212,APPLESAUCE CND SWTND W/SALT,76.0,0.18,0.18,19.91
2213,APRICOT NECTAR CND W/ VIT C,56.0,0.37,0.09,14.39
2214,GRAPEFRUIT JUICE PINK RAW,39.0,0.5,0.1,9.2
2215,PEACH NECTAR CND W/ VIT C,54.0,0.27,0.02,13.92
2216,PEAR NECTAR CND W/ VIT C,60.0,0.11,0.01,15.76
2217,PINEAPPLE JUC CND UNSWTND W/ ADDED VIT C,53.0,0.36,0.12,12.87
2218,APPLE JUC FRZ CONC UNSWTND UNDIL W/ VIT C,166.0,0.51,0.37,41.0
2219,APPLE JUC FRZ CONC UNSWTND DIL W/3 VOLUME H2O W/ VIT C,47.0,0.14,0.1,11.54
2220,JACKFRUIT CND SYRUP PK,92.0,0.36,0.14,23.94
2221,DATES MEDJOOL,277.0,1.81,0.15,74.97
2222,DURIAN RAW OR FROZEN,147.0,1.47,5.33,27.09
2223,PRUNE PUREE,257.0,2.1,0.2,65.1
2224,CANDIED FRUIT,322.0,0.34,0.07,82.74
2225,ABIYUCH RAW,69.0,1.5,0.1,17.6
2226,ROWAL RAW,111.0,2.3,2.0,23.9
2227,PINEAPPLE RAW TRADITIONAL VAR,45.0,0.55,0.13,11.82
2228,PINEAPPLE RAW EX SWT VAR,51.0,0.53,0.11,13.5
2229,USDA CMDTY MXD FRUIT (PEACH PEARS GRAPES) CND LT SYRUP DRND,57.0,0.46,0.1,14.65
2230,USDA CMDTY MXD FRUIT (PEACH PEAR GRAPE) CND LT SYR SOL & LIQ,55.0,0.41,0.08,14.3
2231,CLEMENTINES RAW,47.0,0.85,0.15,12.02
2232,GUANABANA NECTAR CND,59.0,0.11,0.17,14.93
2233,GUAVA NECTAR CND,57.0,0.09,0.06,14.87
2234,MANGO NECTAR CND,51.0,0.11,0.06,13.12
2235,TAMARIND NECTAR CND,57.0,0.09,0.12,14.73
2236,USDA CMDTY PEACHES CND LT SYRUP DRND,61.0,0.56,0.15,15.65
2237,USDA CMDTY PEARS CND JUC PK DRND,51.0,0.34,0.19,12.91
2238,USDA CMDTY PEARS CND LT SYRUP DRND,62.0,0.28,0.15,16.21
2239,POMEGRANATE JUC BTLD,54.0,0.15,0.29,13.13
2240,JUICE APPL & GRAPE BLEND W/ ADDED VIT C,50.0,0.16,0.12,12.46
2241,JUICE APPL GRAPE & PEAR BLEND W/ ADDED VIT C & CA,52.0,0.17,0.12,12.96
2242,KIWIFRUIT GOLD RAW,60.0,1.23,0.56,14.23
2243,PLANTAINS GRN FRIED,309.0,1.5,11.81,49.17
2244,PLANTAINS YEL FRIED LATINO RESTAURANT,236.0,1.42,7.51,40.77
2245,NANCE CND SYRUP DRND,95.0,0.56,1.28,22.79
2246,NANCE FRZ UNSWTND,73.0,0.66,1.16,16.97
2247,NARANJILLA (LULO) PULP FRZ UNSWTND,25.0,0.44,0.22,5.9
2248,HORNED MELON (KIWANO),44.0,1.78,1.26,7.56
2249,ORANGE PNAPPL JUC BLEND,51.0,0.41,0.08,12.2
2250,PORK FRSH ENHANCED COMP OF FAT CKD,585.0,10.06,60.42,0.32
2251,PORK FRSH CARCASS LN&FAT RAW,376.0,13.91,35.07,0.0
2252,PORK FRSH COMP OF RTL CUTS (LEG LOIN SHLDR) LN RAW,134.0,21.2,4.82,0.0
2253,PORK FRSH COMP OF LEG LOIN SHLDR & SPARERIBS LN & FAT RAW,211.0,18.22,14.79,0.0
2254,PORK FRESH BACKFAT RAW,812.0,2.92,88.69,0.0
2255,PORK FRSH BELLY RAW,518.0,9.34,53.01,0.0
2256,PORK FRSH FAT RAW,632.0,9.25,65.7,0.0
2257,PORK FRSH FAT CKD,626.0,7.06,66.1,0.0
2258,PORK FRSH LEG (HAM) WHL LN&FAT RAW,245.0,17.43,18.87,0.0
2259,PORK FRSH LEG (HAM) WHL LN&FAT CKD RSTD,273.0,26.83,17.61,0.0
2260,PORK FRSH LEG (HAM) WHL LN RAW,136.0,20.48,5.41,0.0
2261,PORK FRSH LEG (HAM) WHL LN CKD RSTD,211.0,29.41,9.44,0.0
2262,PORK FRSH LEG (HAM) RUMP HALF LN&FAT RAW,182.0,20.27,10.63,0.0
2263,PORK FRSH LEG (HAM) RUMP HALF LN&FAT CKD RSTD,209.0,27.03,10.32,0.0
2264,PORK FRSH LEG (HAM) RUMP HALF LN RAW,120.0,21.81,2.93,0.0
2265,PORK FRSH LEG (HAM) RUMP HALF LN CKD RSTD,165.0,28.86,4.62,0.0
2266,PORK FRSH LEG (HAM) SHANK HALF LN&FAT RAW,193.0,19.87,11.96,0.0
2267,PORK FRSH LEG (HAM) SHANK HALF LN&FAT CKD RSTD,232.0,25.96,13.42,0.0
2268,PORK FRSH LEG (HAM) SHANK HALF LN RAW,119.0,21.66,2.95,0.0
2269,PORK FRSH LEG (HAM) SHANK HALF LN CKD RSTD,175.0,28.69,5.83,0.0
2270,PORK FRSH LOIN WHL LN&FAT RAW,198.0,19.74,12.58,0.0
2271,PORK FRSH LOIN WHL LN&FAT CKD BRSD,239.0,27.23,13.62,0.0
2272,PORK FRSH LOIN WHL LN&FAT CKD BRLD,242.0,27.32,13.92,0.0
2273,PORK FRSH LOIN WHL LN&FAT CKD RSTD,248.0,27.09,14.65,0.0
2274,PORK FRSH LOIN WHL LN RAW,143.0,21.43,5.66,0.0
2275,PORK FRSH LOIN WHL LN CKD BRSD,204.0,28.57,9.12,0.0
2276,PORK FRSH LOIN WHL LN CKD BRLD,210.0,28.57,9.8,0.0
2277,PORK FRSH LOIN WHL LN CKD RSTD,209.0,28.62,9.63,0.0
2278,PORK FRSH LOIN BLADE (CHOPS OR ROASTS) BONE-IN LN&FAT RAW,194.0,19.56,12.27,0.0
2279,PORK FRSH LOIN BLADE (CHOPS) BONE-IN LN&FAT CKD BRSD,255.0,26.54,15.71,0.0
2280,PORK FRSH LOIN BLADE (CHOPS) BONE-IN LN&FAT CKD BRLD,231.0,23.72,14.35,0.0
2281,PORK FRSH LOIN BLADE (ROASTS) BONE-IN LN&FAT CKD RSTD,254.0,24.29,16.71,0.0
2282,PORK FRSH LOIN BLADE (CHOPS OR ROASTS) BONE-IN LN RAW,143.0,21.22,5.84,0.0
2283,PORK FRSH LOIN BLADE (CHOPS) BONE-IN LN CKD BRSD,222.0,28.02,11.29,0.0
2284,PORK FRSH LOIN BLADE (CHOPS) BONE-IN LN CKD BRLD,193.0,24.99,9.56,0.0
2285,PORK FRSH LOIN BLADE (ROASTS) BONE-IN LN CKD RSTD,217.0,25.7,11.89,0.0
2286,PORK FRSH LOIN CNTR LOIN (CHOPS) BONE-IN LN & FAT RAW,170.0,20.71,9.03,0.0
2287,PORK FRSH LOIN CNTR LOIN (CHOPS) BONE-IN LN&FAT CKD BRSD,242.0,28.21,13.51,0.0
2288,PORK FRSH LOIN CNTR LOIN (CHOPS) BONE-IN LN&FAT CKD BRLD,209.0,25.61,11.06,0.0
2289,PORK FRSH LOIN CNTR LOIN (ROASTS) BONE-IN LN&FAT CKD RSTD,231.0,27.01,12.8,0.0
2290,PORK FRSH LOIN CNTR LOIN (CHOPS) BONE-IN LN RAW,127.0,21.99,3.71,0.0
2291,PORK FRSH LOIN CNTR LOIN (CHOPS) BONE-IN LN CKD BRSD,200.0,30.2,7.86,0.0
2292,PORK FRSH LOIN CNTR LOIN (CHOPS) BONE-IN LN CKD BRLD,180.0,26.76,7.29,0.0
2293,PORK FRSH LOIN CNTR LOIN (ROASTS) BONE-IN LN CKD RSTD,194.0,28.58,7.95,0.0
2294,PORK FRSH LOIN CNTR RIB (CHOPS OR ROASTS) BONE-IN LN&FAT RAW,186.0,20.28,11.04,0.0
2295,PORK FRSH LOIN CNTR RIB (CHOPS) BONE-IN LN&FAT CKD BRSD,261.0,26.66,16.28,0.0
2296,PORK FRSH LOIN CNTR RIB (CHOPS) BONE-IN LN&FAT CKD BRLD,222.0,24.42,13.04,0.0
2297,PORK FRSH LOIN CNTR RIB (ROASTS) BONE-IN LN&FAT CKD RSTD,248.0,26.99,14.68,0.0
2298,PORK FRSH LOIN CNTR RIB (CHOPS OR ROASTS) BONE-IN LN RAW,136.0,21.79,4.8,0.0
2299,PORK FRSH LOIN CNTR RIB (CHOPS) BONE-IN LN CKD BRSD,208.0,29.03,9.32,0.0
2300,PORK FRSH LOIN CNTR RIB (CHOPS) BONE-IN LN CKD BRLD,186.0,25.79,8.36,0.0
2301,PORK FRSH LOIN CNTR RIB (ROASTS) BONE-IN LN CKD RSTD,206.0,28.82,9.21,0.0
2302,PORK FRSH LOIN SIRLOIN (CHOPS OR ROASTS) BONE-IN LN&FAT RAW,168.0,20.48,8.96,0.0
2303,PORK FRSH LOIN SIRLOIN (CHOPS) BONE-IN LN&FAT CKD BRSD,234.0,28.81,12.31,0.0
2304,PORK FRSH LOIN SIRLOIN (CHOPS) BONE-IN LN&FAT CKD BRLD,222.0,26.96,11.82,0.0
2305,PORK FRSH LOIN SIRLOIN (ROASTS) BONE-IN LN&FAT CKD RSTD,230.0,26.64,12.87,0.0
2306,PORK FRSH LOIN SIRLOIN (CHOPS OR ROASTS) BONE-IN LN RAW,129.0,21.65,4.02,0.0
2307,PORK FRSH LOIN SIRLOIN (CHOPS) BONE-IN LN CKD BRSD,195.0,31.0,6.9,0.0
2308,PORK FRSH LOIN SIRLOIN (CHOPS) BONE-IN LN CKD BRLD,174.0,29.29,5.45,0.0
2309,PORK FRSH LOIN SIRLOIN (ROASTS) BONE-IN LN CKD RSTD,204.0,27.78,9.44,0.0
2310,PORK  FRSH  LOIN  TENDERLOIN   LN ONLY  RAW,109.0,20.95,2.17,0.0
2311,PORK FRSH LOIN TENDERLOIN LN CKD RSTD,143.0,26.17,3.51,0.0
2312,PORK FRSH LOIN TOP LOIN (CHOPS) BNLESS LN & FAT RAW,155.0,21.55,6.94,0.0
2313,PORK FRSH LOIN TOP LOIN (CHOPS) BNLESS LN & FAT CKD BRSD,200.0,29.2,8.31,0.0
2314,PORK FRSH LOIN TOP LOIN (CHOPS) BNLESS LN & FAT CKD BRLD,196.0,26.62,9.14,0.0
2315,PORK FRSH LOIN TOP LOIN (ROASTS) BNLESS LN&FAT CKD RSTD,192.0,26.45,8.82,0.0
2316,PORK FRSH LOIN TOP LOIN (CHOPS) BNLESS LN RAW,127.0,22.41,3.42,0.0
2317,PORK FRSH LOIN TOP LOIN (CHOPS) BNLESS LN CKD BRSD,170.0,30.54,4.34,0.0
2318,PORK FRSH LOIN TOP LOIN (CHOPS) BNLESS LN CKD BRLD,173.0,27.58,6.08,0.0
2319,PORK FRSH LOIN TOP LOIN (ROASTS) BNLESS LN CKD RSTD,173.0,27.23,6.28,0.0
2320,PORK FRSH SHLDR WHL LN&FAT RAW,236.0,17.18,17.99,0.0
2321,PORK FRSH SHLDR WHL LN&FAT CKD RSTD,292.0,23.28,21.39,0.0
2322,PORK FRSH SHLDR WHL LN RAW,148.0,19.55,7.14,0.0
2323,PORK FRSH SHLDR WHL LN CKD RSTD,230.0,25.33,13.54,0.0
2324,PORK FRSH SHLDR ARM PICNIC LN&FAT RAW,193.0,18.71,12.51,0.0
2325,PORK FRSH SHLDR ARM PICNIC LN&FAT CKD BRSD,235.0,24.88,14.33,0.0
2326,PORK FRSH SHLDR ARM PICNIC LN&FAT CKD RSTD,317.0,23.47,24.01,0.0
2327,PORK FRSH SHLDR ARM PICNIC LN RAW,120.0,20.26,3.77,0.0
2328,PORK FRSH SHLDR ARM PICNIC LN CKD BRSD,194.0,26.76,8.87,0.0
2329,PORK FRSH SHLDR ARM PICNIC LN CKD RSTD,228.0,26.68,12.62,0.0
2330,PORK FRSH SHLDR (BOSTON BUTT) BLADE (STEAKS) LN & FAT RAW,186.0,17.42,12.36,0.0
2331,PORK FRSH SHLDR (BOSTON BUTT) BLADE (STKS) LN & FAT CKD BRSD,267.0,25.07,17.69,0.0
2332,PORK FRSH SHLDR BLADE BOSTON (STEAKS) LN&FAT CKD BRLD,259.0,25.58,16.61,0.0
2333,PORK FRSH SHLDR BLADE BOSTON (ROASTS) LN&FAT CKD RSTD,269.0,23.11,18.86,0.0
2334,PORK FRSH SHLDR (BOSTON BUTT) BLADE (STEAKS) LN RAW,132.0,18.73,5.71,0.0
2335,PORK FRSH SHLDR (BOSTON BUTT) BLADE (STEAKS) LN CKD BRSD,233.0,26.57,13.2,0.0
2336,PORK FRSH SHLDR BLADE BOSTON (STEAKS) LN CKD BRLD,227.0,26.74,12.54,0.0
2337,PORK FRSH SHLDR BLADE BOSTON (ROASTS) LN CKD RSTD,232.0,24.21,14.3,0.0
2338,PORK FRSH SPARERIBS LN&FAT RAW,277.0,15.47,23.4,0.0
2339,PORK FRSH SPARERIBS LN&FAT CKD BRSD,397.0,29.06,30.3,0.0
2340,PORK FRSH COMP OF RTL CUTS (LEG LOIN &SHLDR) LN CKD,201.0,27.51,9.21,0.0
2341,PORK FRSH VAR MEATS&BY-PRODUCTS BRAIN RAW,127.0,10.28,9.21,0.0
2342,PORK FRSH VAR MEATS&BY-PRODUCTS BRAIN CKD BRSD,138.0,12.14,9.51,0.0
2343,PORK FRSH VAR MEATS&BY-PRODUCTS CHITTERLINGS RAW,182.0,7.64,16.61,0.0
2344,PORK FRSH VAR MEATS&BY-PRODUCTS CHITTERLINGS CKD SIMMRD,233.0,12.49,20.32,0.0
2345,PORK FRSH VAR MEATS&BY-PRODUCTS EARS FRZ RAW,234.0,22.45,15.1,0.6
2346,PORK FRSH VAR MEATS&BY-PRODUCTS EARS FRZ CKD SIMMRD,166.0,15.95,10.8,0.2
2347,PORK FRSH VAR MEATS&BY-PRODUCTS FEET RAW,212.0,23.16,12.59,0.0
2348,PORK FRSH VAR MEATS&BY-PRODUCTS HEART RAW,118.0,17.27,4.36,1.33
2349,PORK FRSH VAR MEATS&BY-PRODUCTS HEART CKD BRSD,148.0,23.6,5.05,0.4
2350,PORK FRSH VAR MEATS&BY-PRODUCTS JOWL RAW,655.0,6.38,69.61,0.0
2351,PORK FRSH VAR MEATS&BY-PRODUCTS KIDNEYS RAW,100.0,16.46,3.25,0.0
2352,PORK FRSH VAR MEATS&BY-PRODUCTS KIDNEYS CKD BRSD,151.0,25.4,4.7,0.0
2353,PORK FRSH VAR MEATS&BY-PRODUCTS LEAF FAT RAW,857.0,1.76,94.16,0.0
2354,PORK FRSH VAR MEATS&BY-PRODUCTS LIVER RAW,134.0,21.39,3.65,2.47
2355,PORK FRSH VAR MEATS&BY-PRODUCTS LIVER CKD BRSD,165.0,26.02,4.4,3.76
2356,PORK FRSH VAR MEATS&BY-PRODUCTS LUNGS RAW,85.0,14.08,2.72,0.0
2357,PORK FRSH VAR MEATS&BY-PRODUCTS LUNGS CKD BRSD,99.0,16.6,3.1,0.0
2358,PORK FRSH VAR MEATS&BY-PRODUCTS MECHANICALLY SEPARATED RAW,304.0,15.03,26.54,0.0
2359,PORK FRSH VAR MEATS&BY-PRODUCTS PANCREAS RAW,199.0,18.56,13.24,0.0
2360,PORK FRSH VAR MEATS&BY-PRODUCTS PANCREAS CKD BRSD,219.0,28.5,10.8,0.0
2361,PORK FRSH VAR MEATS&BY-PRODUCTS SPLEEN RAW,100.0,17.86,2.59,0.0
2362,PORK FRSH VAR MEATS&BY-PRODUCTS SPLEEN CKD BRSD,149.0,28.2,3.2,0.0
2363,PORK FRSH VAR MEATS&BY-PRODUCTS STOMACH RAW,159.0,16.85,10.14,0.0
2364,PORK FRSH LOIN BLADE (CHOPS) BONE-IN LN CKD PAN-FRIED,222.0,26.38,12.14,0.0
2365,PORK FRSH VAR MEATS&BY-PRODUCTS TONGUE RAW,225.0,16.3,17.2,0.0
2366,PORK FRSH VAR MEATS&BY-PRODUCTS TONGUE CKD BRSD,271.0,24.1,18.6,0.0
2367,PORK CURED BACON RAW,458.0,11.6,45.04,0.66
2368,PORK CURED BACON CKD BRLD PAN-FRIED OR RSTD,541.0,37.04,41.78,1.43
2369,PORK CURED BRKFST STRIPS RAW OR UNHTD,388.0,11.74,37.16,0.7
2370,PORK CURED BRKFST STRIPS CKD,459.0,28.95,36.7,1.05
2371,PORK CURED CANADIAN-STYLE BACON UNHTD,157.0,20.64,6.97,1.68
2372,PORK CURED CANADIAN-STYLE BACON GRILLED,185.0,24.24,8.44,1.35
2373,PORK CURED FEET PICKLED,140.0,11.63,10.02,0.01
2374,PORK CURED HAM BNLESS EX LN (APPROX 5% FAT) RSTD,145.0,20.93,5.53,1.5
2375,PORK CURED HAM BNLESS REG (APPROX 11% FAT) RSTD,178.0,22.62,9.02,0.0
2376,PORK CURED HAM EX LN (APPROX 4% FAT) CND UNHTD,120.0,18.49,4.56,0.0
2377,PORK CURED HAM EX LN (APPROX 4% FAT) CND RSTD,136.0,21.16,4.88,0.52
2378,PORK CURED HAM REG (APPROX 13% FAT) CND UNHTD,190.0,16.97,12.99,0.02
2379,PORK CURED HAM REG (APPROX 13% FAT) CND RSTD,226.0,20.53,15.2,0.42
2380,PORK CURED HAM CNTR SLICE COUNTRY-STYLE LN RAW,195.0,27.8,8.32,0.3
2381,PORK CURED HAM CNTR SLICE LN&FAT UNHTD,203.0,20.17,12.9,0.05
2382,PORK CURED HAM PATTIES UNHTD,315.0,12.78,28.19,1.69
2383,PORK CURED HAM PATTIES GRILLED,342.0,13.3,30.85,1.7
2384,PORK CURED HAM STEAK BNLESS EX LN UNHTD,122.0,19.56,4.25,0.0
2385,PORK CURED HAM WHL LN&FAT UNHTD,246.0,18.49,18.52,0.06
2386,PORK CURED HAM WHL LN&FAT RSTD,243.0,21.57,16.77,0.0
2387,PORK CURED HAM WHL LN UNHTD,147.0,22.32,5.71,0.05
2388,PORK CURED HAM WHL LN RSTD,157.0,25.05,5.5,0.0
2389,USDA CMDTY PORK CND,196.0,19.4,12.95,0.59
2390,PORK CURED SALT PORK RAW,748.0,5.05,80.5,0.0
2391,PORK CURED FAT (FROM HAM&ARM PICNIC) UNHTD,579.0,5.68,61.41,0.09
2392,PORK CURED FAT (FROM HAM&ARM PICNIC) RSTD,591.0,7.64,61.86,0.0
2393,PORK CURED SHLDR ARM PICNIC LN&FAT RSTD,280.0,20.43,21.35,0.0
2394,PORK CURED SHLDR ARM PICNIC LN RSTD,170.0,24.94,7.04,0.0
2395,PORK CURED SHLDR BLADE ROLL LN&FAT UNHTD,269.0,16.47,21.98,0.0
2396,PORK CURED SHLDR BLADE ROLL LN&FAT RSTD,287.0,17.28,23.48,0.37
2397,PORK FRSH VAR MEATS&BY-PRODUCTS FEET CKD SIMMRD,232.0,21.94,16.05,0.0
2398,PORK FRSH VAR MEATS&BY-PRODUCTS TAIL RAW,378.0,17.75,33.5,0.0
2399,PORK FRSH VAR MEATS&BY-PRODUCTS TAIL CKD SIMMRD,396.0,17.0,35.8,0.0
2400,PORK FRSH LOIN CNTR LOIN (CHOPS) BONE-IN LN CKD PAN-FRIED,195.0,29.56,7.66,0.0
2401,PORK FRSH LOIN CNTR RIB (CHOPS) BONE-IN LN CKD PAN-FRIED,211.0,28.84,9.73,0.0
2402,PORK FRSH LOIN BLADE (CHOPS) BONE-IN LN&FAT CKD PAN-FRIED,256.0,25.02,16.56,0.0
2403,PORK FRSH LOIN CNTR LOIN CHOPS BONE-IN LN&FAT CKD PAN-FRIED,238.0,27.63,13.32,0.0
2404,PORK FRSH LOIN CNTR RIB (CHOPS) BONE-IN LN&FAT CKD PAN-FRIED,256.0,26.81,15.71,0.0
2405,PORK FRSH LOIN TOP LOIN (CHOPS) BNLESS LN CKD PAN-FRIED,172.0,30.46,4.62,0.0
2406,PORK CURED HAM BNLESS EX LN&REG UNHTD,162.0,18.26,8.39,2.28
2407,PORK CURED HAM BNLESS EX LN&REG RSTD,165.0,21.97,7.66,0.5
2408,PORK CURED HAM EX LN&REG CND UNHTD,144.0,17.97,7.46,0.0
2409,PORK CURED HAM EX LN&REG CND RSTD,167.0,20.94,8.43,0.49
2410,PORK FRSH LOIN TOP LOIN (CHOPS) BNLESS LN&FAT CKD PAN-FRIED,196.0,29.36,7.86,0.0
2411,PORK FRSH COMP (LEG LOIN SHLDR &SPARERIBS) LN&FAT RAW,216.0,18.95,14.95,0.0
2412,PORK FRSH COMP (LEG LOIN SHLDR &SPARERIBS) LN&FAT CKD,238.0,26.36,13.89,0.0
2413,PORK FRSH BACKRIBS LN&FAT RAW,224.0,19.07,16.33,0.0
2414,PORK FRSH BACKRIBS LN&FAT CKD RSTD,286.0,23.01,21.51,0.0
2415,PORK FRSH LOIN CNTR RIB (CHOPS OR ROASTS) BNLESS LN&FAT RAW,211.0,19.9,14.01,0.0
2416,PORK FRSH LOIN CNTR RIB (CHOPS) BNLESS LN&FAT CKD BRSD,255.0,26.29,15.79,0.0
2417,PORK FRSH LOIN CNTR RIB (CHOPS) BNLESS LN&FAT CKD BRLD,260.0,27.63,15.76,0.0
2418,PORK FRSH LOIN CNTR RIB (CHOPS) BNLESS LN&FAT CKD PAN-FRIED,273.0,25.82,18.05,0.0
2419,PORK FRSH LOIN CNTR RIB (ROASTS) BNLESS LN&FAT CKD RSTD,252.0,26.99,15.15,0.0
2420,PORK FRSH LOIN CNTR RIB (CHOPS OR ROASTS) BNLESS LN RAW,152.0,21.8,6.48,0.0
2421,PORK FRSH LOIN CNTR RIB (CHOPS) BNLESS LN CKD BRSD,211.0,27.95,10.14,0.0
2422,PORK FRSH LOIN CNTR RIB (CHOPS) BNLESS LN CKD BRLD,216.0,29.46,10.05,0.0
2423,PORK FRSH LOIN CNTR RIB (CHOPS) BNLESS LN CKD PAN-FRIED,224.0,27.68,11.8,0.0
2424,PORK FRSH LOIN CNTR RIB (ROASTS) BNLESS LN CKD RSTD,214.0,28.81,10.13,0.0
2425,PORK FRSH LOIN COUNTRY-STYLE RIBS LN&FAT RAW,189.0,19.34,11.82,0.0
2426,PORK FRSH LOIN COUNTRY-STYLE RIBS LN&FAT CKD BRSD,273.0,26.49,17.71,0.0
2427,PORK FRSH LOIN COUNTRY-STYLE RIBS LN & FAT BONE-IN CKD RSTD,359.0,21.75,29.46,0.0
2428,PORK FRSH LOIN COUNTRY-STYLE RIBS LN RAW,140.0,20.76,5.64,0.0
2429,PORK FRSH LOIN COUNTRY-STYLE RIBS LN CKD BRSD,247.0,27.74,14.26,0.0
2430,PORK FRSH LOIN COUNTRY-STYLE RIBS LN BONE-IN CKD RSTD,227.0,29.2,11.38,0.0
2431,PORK FRSH LOIN SIRLOIN (CHOPS OR ROASTS) BNLESS LN&FAT RAW,133.0,22.49,4.05,0.0
2432,PORK FRSH LOIN SIRLOIN (CHOPS) BNLESS LN&FAT CKD BRSD,171.0,28.41,5.47,0.0
2433,PORK FRSH LOIN SIRLOIN (CHOPS) BNLESS LN&FAT CKD BRLD,170.0,28.19,5.53,0.0
2434,PORK FRSH LOIN SIRLOIN (ROASTS) BNLESS LN&FAT CKD RSTD,192.0,29.62,7.32,0.0
2435,PORK FRSH LOIN SIRLOIN (CHOPS OR ROASTS) BNLESS LN RAW,121.0,22.81,2.59,0.0
2436,PORK FRSH LOIN SIRLOIN (CHOPS) BNLESS LN CKD BRSD,163.0,28.75,4.5,0.0
2437,PORK FRSH LOIN SIRLOIN (CHOPS) BNLESS LN CKD BRLD,161.0,28.6,4.36,0.0
2438,PORK FRSH LOIN SIRLOIN (ROASTS) BNLESS LN CKD RSTD,178.0,30.39,5.31,0.0
2439,PORK FRSH LOIN TENDERLOIN LN&FAT RAW,120.0,20.65,3.53,0.0
2440,PORK FRESH GROUND RAW,263.0,16.88,21.19,0.0
2441,PORK FRESH GROUND COOKED,297.0,25.69,20.77,0.0
2442,PORK FRSH LOIN TENDERLOIN LN&FAT CKD BRLD,201.0,29.86,8.11,0.0
2443,PORK FRSH LOIN TENDERLOIN LN&FAT CKD RSTD,147.0,26.04,3.96,0.0
2444,PORK FRSH LOIN TENDERLOIN LN CKD BRLD,187.0,30.42,6.33,0.0
2445,PORK FRSH LOIN TOP LOIN (ROASTS) BNLESS LN&FAT RAW,166.0,21.34,8.33,0.0
2446,PORK FRSH LOIN TOP LOIN (ROASTS) BNLESS LN RAW,132.0,22.39,4.06,0.0
2447,PORK FRSH COMP OF RTL CUTS (LOIN & SHLDR BLADE) LN & FAT RAW,177.0,20.08,10.14,0.0
2448,PORK FRSH COMP OF RTL CUTS (LOIN&SHLDR BLADE) LN&FAT CKD,235.0,26.07,13.66,0.0
2449,PORK FRSH COMP OF RTL CUTS (LOIN&SHLDR BLADE) LN RAW,144.0,21.23,5.88,0.0
2450,PORK FRSH COMP OF RTL CUTS (LOIN&SHLDR BLADE) LN CKD,211.0,29.47,9.44,0.0
2451,USDA COMMODITY PORK CURED HAM BNLESS CKD HTD,149.0,18.84,7.62,0.0
2452,USDA COMMODITY PORK GROUND FINE/COARSE FRZ CKD,265.0,23.55,18.19,0.0
2453,USDA COMMODITY PORK CURED HAM BNLESS CKD UNHTD,133.0,17.44,6.16,0.69
